,obs_next,t,stage,reward,blockID,obs,action,is_done,trialID,tot_t,highstate,rewardplanet,randomplanet,transition,p_trans,p_reward_low,p_reward_high,p_ambiguity
9,1.0,0,1,0.0,1,2.0,1,False,5.0,10,1,[0. 0.],,[1 1],[0.8 0.8],0.25,0.75,0.4
10,1.0,0,1,0.0,1,1.0,1,False,6.0,11,1,[0. 1.],,[2 1],[0.8 0.8],0.25,0.75,0.4
11,1.0,0,1,0.0,1,1.0,1,False,6.0,12,1,[1. 1.],0.0,[1 1],[0.8 0.8],0.25,0.75,0.4
12,1.0,0,1,1.0,1,1.0,1,False,7.0,13,1,[0. 1.],0.0,[1 2],[0.8 0.8],0.25,0.75,0.4
13,2.0,0,1,1.0,1,1.0,1,False,7.0,14,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
14,2.0,0,1,1.0,1,2.0,1,False,8.0,15,1,[0. 1.],,[1 1],[0.8 0.8],0.25,0.75,0.4
15,1.0,0,1,0.0,1,2.0,1,False,8.0,16,1,[1. 0.],,[1 2],[0.8 0.8],0.25,0.75,0.4
16,2.0,0,1,0.0,1,1.0,1,False,9.0,17,1,[1. 0.],,[1 2],[0.8 0.8],0.25,0.75,0.4
17,2.0,0,1,0.0,1,2.0,1,False,9.0,18,1,[1. 1.],1.0,[1 2],[0.8 0.8],0.25,0.75,0.4
18,1.0,0,1,1.0,1,2.0,1,False,10.0,19,1,[0. 1.],0.0,[1 2],[0.8 0.8],0.25,0.75,0.4
19,2.0,0,1,0.0,1,1.0,0,False,10.0,20,1,[1. 0.],1.0,[1 2],[0.8 0.8],0.25,0.75,0.4
20,1.0,0,1,1.0,1,2.0,0,False,11.0,21,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
21,1.0,0,1,0.0,1,1.0,0,False,11.0,22,1,[0. 0.],,[1 2],[0.8 0.8],0.25,0.75,0.4
22,1.0,0,1,0.0,1,1.0,0,False,12.0,23,1,[0. 1.],0.0,[1 2],[0.8 0.8],0.25,0.75,0.4
23,2.0,0,1,0.0,1,1.0,0,False,12.0,24,1,[1. 1.],1.0,[2 2],[0.8 0.8],0.25,0.75,0.4
24,2.0,0,1,1.0,1,2.0,0,False,13.0,25,1,[0. 1.],,[1 1],[0.8 0.8],0.25,0.75,0.4
25,1.0,0,1,0.0,1,2.0,1,False,13.0,26,1,[1. 1.],,[1 1],[0.8 0.8],0.25,0.75,0.4
26,2.0,0,1,1.0,1,1.0,1,False,14.0,27,1,[0. 1.],1.0,[1 2],[0.8 0.8],0.25,0.75,0.4
27,2.0,0,1,1.0,1,2.0,1,False,14.0,28,1,[1. 1.],,[1 1],[0.8 0.8],0.25,0.75,0.4
28,1.0,0,1,1.0,1,2.0,1,False,15.0,29,1,[1. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
29,1.0,0,1,1.0,1,1.0,1,True,15.0,30,1,[0. 0.],0.0,[1 2],[0.8 0.8],0.25,0.75,0.4
0,1.0,0,1,0.0,1,2.0,0,False,1.0,1,1,[0. 1.],0.0,[1 2],[0.8 0.8],0.25,0.75,0.4
1,2.0,0,1,1.0,1,1.0,1,False,1.0,2,1,[0. 1.],,[2 2],[0.8 0.8],0.25,0.75,0.4
2,1.0,0,1,1.0,1,2.0,1,False,2.0,3,1,[0. 1.],0.0,[1 1],[0.8 0.8],0.25,0.75,0.4
3,1.0,0,1,0.0,1,1.0,1,False,2.0,4,1,[1. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
4,2.0,0,1,1.0,1,1.0,1,False,3.0,5,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
5,2.0,0,1,1.0,1,2.0,1,False,3.0,6,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
6,2.0,0,1,1.0,1,2.0,1,False,4.0,7,1,[0. 0.],,[1 2],[0.8 0.8],0.25,0.75,0.4
7,2.0,0,1,0.0,1,2.0,1,False,4.0,8,1,[1. 1.],,[2 2],[0.8 0.8],0.25,0.75,0.4
8,1.0,0,1,1.0,1,2.0,1,False,5.0,9,1,[1. 1.],0.0,[1 2],[0.8 0.8],0.25,0.75,0.4
9,2.0,0,1,1.0,1,1.0,1,False,5.0,10,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
10,2.0,0,1,1.0,1,2.0,1,False,6.0,11,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
11,2.0,0,1,1.0,1,2.0,1,False,6.0,12,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
12,1.0,0,1,1.0,1,2.0,1,False,7.0,13,1,[0. 0.],0.0,[2 2],[0.8 0.8],0.25,0.75,0.4
13,2.0,0,1,0.0,1,1.0,1,False,7.0,14,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
14,1.0,0,1,1.0,1,2.0,1,False,8.0,15,1,[0. 1.],0.0,[1 2],[0.8 0.8],0.25,0.75,0.4
15,1.0,0,1,0.0,1,1.0,0,False,8.0,16,1,[1. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
16,2.0,0,1,1.0,1,1.0,1,False,9.0,17,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
17,2.0,0,1,1.0,1,2.0,1,False,9.0,18,1,[0. 1.],1.0,[1 2],[0.8 0.8],0.25,0.75,0.4
18,1.0,0,1,1.0,1,2.0,1,False,10.0,19,1,[0. 0.],0.0,[1 2],[0.8 0.8],0.25,0.75,0.4
19,2.0,0,1,0.0,1,1.0,1,False,10.0,20,1,[1. 0.],,[1 2],[0.8 0.8],0.25,0.75,0.4
20,2.0,0,1,0.0,1,2.0,1,False,11.0,21,1,[1. 0.],,[1 2],[0.8 0.8],0.25,0.75,0.4
21,1.0,0,1,1.0,1,2.0,0,False,11.0,22,1,[0. 0.],0.0,[1 1],[0.8 0.8],0.25,0.75,0.4
22,1.0,0,1,0.0,1,1.0,0,False,12.0,23,1,[1. 1.],,[2 2],[0.8 0.8],0.25,0.75,0.4
23,2.0,0,1,1.0,1,1.0,0,False,12.0,24,1,[0. 0.],,[1 1],[0.8 0.8],0.25,0.75,0.4
24,1.0,0,1,0.0,1,2.0,0,False,13.0,25,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
25,2.0,0,1,1.0,1,1.0,1,False,13.0,26,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
26,2.0,0,1,1.0,1,2.0,1,False,14.0,27,1,[1. 1.],1.0,[2 2],[0.8 0.8],0.25,0.75,0.4
27,2.0,0,1,1.0,1,2.0,1,False,14.0,28,1,[1. 1.],1.0,[1 2],[0.8 0.8],0.25,0.75,0.4
28,2.0,0,1,1.0,1,2.0,1,False,15.0,29,1,[1. 1.],,[2 2],[0.8 0.8],0.25,0.75,0.4
29,2.0,0,1,1.0,1,2.0,1,True,15.0,30,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
0,2.0,0,1,1.0,1,1.0,1,False,1.0,1,1,[0. 0.],,[1 2],[0.8 0.8],0.25,0.75,0.4
1,2.0,0,1,0.0,1,2.0,1,False,1.0,2,1,[0. 1.],1.0,[1 2],[0.8 0.8],0.25,0.75,0.4
2,2.0,0,1,1.0,1,2.0,1,False,2.0,3,1,[0. 1.],1.0,[1 2],[0.8 0.8],0.25,0.75,0.4
3,2.0,0,1,1.0,1,2.0,1,False,2.0,4,1,[0. 1.],1.0,[1 2],[0.8 0.8],0.25,0.75,0.4
4,2.0,0,1,1.0,1,2.0,1,False,3.0,5,1,[0. 1.],1.0,[2 2],[0.8 0.8],0.25,0.75,0.4
5,2.0,0,1,1.0,1,2.0,1,False,3.0,6,1,[0. 0.],,[1 2],[0.8 0.8],0.25,0.75,0.4
6,1.0,0,1,0.0,1,2.0,1,False,4.0,7,1,[0. 0.],0.0,[1 2],[0.8 0.8],0.25,0.75,0.4
7,2.0,0,1,0.0,1,1.0,1,False,4.0,8,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
8,2.0,0,1,1.0,1,2.0,1,False,5.0,9,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
9,2.0,0,1,1.0,1,2.0,1,False,5.0,10,1,[0. 0.],1.0,[1 2],[0.8 0.8],0.25,0.75,0.4
10,2.0,0,1,0.0,1,2.0,1,False,6.0,11,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
11,1.0,0,1,1.0,1,2.0,1,False,6.0,12,1,[1. 1.],0.0,[2 2],[0.8 0.8],0.25,0.75,0.4
12,2.0,0,1,1.0,1,1.0,1,False,7.0,13,1,[0. 1.],,[2 2],[0.8 0.8],0.25,0.75,0.4
13,2.0,0,1,1.0,1,2.0,1,False,7.0,14,1,[0. 1.],1.0,[1 1],[0.8 0.8],0.25,0.75,0.4
14,1.0,0,1,0.0,1,2.0,1,False,8.0,15,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
15,2.0,0,1,1.0,1,1.0,1,False,8.0,16,1,[1. 1.],1.0,[1 2],[0.8 0.8],0.25,0.75,0.4
16,2.0,0,1,1.0,1,2.0,1,False,9.0,17,1,[0. 0.],1.0,[2 1],[0.8 0.8],0.25,0.75,0.4
17,1.0,0,1,0.0,1,2.0,1,False,9.0,18,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
18,2.0,0,1,1.0,1,1.0,1,False,10.0,19,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
19,2.0,0,1,1.0,1,2.0,1,False,10.0,20,1,[0. 1.],1.0,[1 2],[0.8 0.8],0.25,0.75,0.4
20,2.0,0,1,1.0,1,2.0,1,False,11.0,21,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
21,2.0,0,1,1.0,1,2.0,1,False,11.0,22,1,[1. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
22,1.0,0,1,1.0,1,2.0,1,False,12.0,23,1,[0. 1.],0.0,[1 1],[0.8 0.8],0.25,0.75,0.4
23,2.0,0,1,0.0,1,1.0,1,False,12.0,24,1,[1. 1.],1.0,[1 1],[0.8 0.8],0.25,0.75,0.4
24,1.0,0,1,1.0,1,2.0,1,False,13.0,25,1,[1. 1.],0.0,[1 2],[0.8 0.8],0.25,0.75,0.4
25,1.0,0,1,1.0,1,1.0,0,False,13.0,26,1,[0. 1.],0.0,[1 2],[0.8 0.8],0.25,0.75,0.4
26,1.0,0,1,0.0,1,1.0,0,False,14.0,27,1,[0. 1.],,[2 2],[0.8 0.8],0.25,0.75,0.4
27,2.0,0,1,1.0,1,1.0,0,False,14.0,28,1,[1. 1.],1.0,[1 2],[0.8 0.8],0.25,0.75,0.4
28,1.0,0,1,1.0,1,2.0,0,False,15.0,29,1,[1. 0.],,[2 2],[0.8 0.8],0.25,0.75,0.4
29,2.0,0,1,0.0,1,1.0,0,True,15.0,30,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
0,1.0,0,1,0.0,1,1.0,0,False,1.0,1,0,[1. 0.],0.0,[1 2],[0.8 0.8],0.25,0.75,0.4
1,2.0,0,1,0.0,1,1.0,1,False,1.0,2,0,[1. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
2,1.0,0,1,1.0,1,2.0,0,False,2.0,3,0,[1. 0.],,[2 1],[0.8 0.8],0.25,0.75,0.4
3,1.0,0,1,0.0,1,1.0,0,False,2.0,4,0,[1. 0.],0.0,[1 2],[0.8 0.8],0.25,0.75,0.4
4,1.0,0,1,1.0,1,1.0,0,False,3.0,5,0,[1. 0.],,[1 2],[0.8 0.8],0.25,0.75,0.4
5,1.0,0,1,1.0,1,1.0,0,False,3.0,6,0,[1. 1.],,[2 2],[0.8 0.8],0.25,0.75,0.4
6,1.0,0,1,1.0,1,1.0,0,False,4.0,7,0,[1. 1.],0.0,[2 2],[0.8 0.8],0.25,0.75,0.4
7,2.0,0,1,1.0,1,1.0,0,False,4.0,8,0,[1. 0.],,[1 2],[0.8 0.8],0.25,0.75,0.4
8,1.0,0,1,1.0,1,2.0,0,False,5.0,9,0,[1. 0.],,[2 1],[0.8 0.8],0.25,0.75,0.4
9,2.0,0,1,0.0,1,1.0,0,False,5.0,10,0,[1. 1.],,[2 1],[0.8 0.8],0.25,0.75,0.4
10,2.0,0,1,1.0,1,2.0,0,False,6.0,11,0,[1. 0.],,[1 2],[0.8 0.8],0.25,0.75,0.4
11,2.0,0,1,1.0,1,2.0,0,False,6.0,12,0,[0. 1.],1.0,[1 2],[0.8 0.8],0.25,0.75,0.4
12,1.0,0,1,0.0,1,2.0,0,False,7.0,13,0,[0. 0.],0.0,[1 2],[0.8 0.8],0.25,0.75,0.4
13,1.0,0,1,0.0,1,1.0,1,False,7.0,14,0,[1. 0.],0.0,[1 2],[0.8 0.8],0.25,0.75,0.4
14,2.0,0,1,0.0,1,1.0,1,False,8.0,15,0,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
15,2.0,0,1,1.0,1,2.0,1,False,8.0,16,0,[1. 0.],1.0,[1 2],[0.8 0.8],0.25,0.75,0.4
16,1.0,0,1,0.0,1,2.0,1,False,9.0,17,0,[0. 0.],0.0,[1 2],[0.8 0.8],0.25,0.75,0.4
17,2.0,0,1,0.0,1,1.0,1,False,9.0,18,0,[0. 0.],,[1 1],[0.8 0.8],0.25,0.75,0.4
18,1.0,0,1,0.0,1,2.0,1,False,10.0,19,0,[0. 1.],0.0,[2 2],[0.8 0.8],0.25,0.75,0.4
19,2.0,0,1,1.0,1,1.0,1,False,10.0,20,0,[1. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
20,2.0,0,1,1.0,1,2.0,1,False,11.0,21,0,[1. 0.],,[1 2],[0.8 0.8],0.25,0.75,0.4
21,1.0,0,1,0.0,1,2.0,1,False,11.0,22,0,[1. 1.],0.0,[1 2],[0.8 0.8],0.25,0.75,0.4
22,2.0,0,1,1.0,1,1.0,1,False,12.0,23,0,[1. 0.],,[1 2],[0.8 0.8],0.25,0.75,0.4
23,2.0,0,1,0.0,1,2.0,1,False,12.0,24,0,[1. 0.],,[1 2],[0.8 0.8],0.25,0.75,0.4
24,2.0,0,1,0.0,1,2.0,1,False,13.0,25,0,[1. 1.],1.0,[2 2],[0.8 0.8],0.25,0.75,0.4
25,2.0,0,1,1.0,1,2.0,1,False,13.0,26,0,[0. 0.],,[1 2],[0.8 0.8],0.25,0.75,0.4
26,2.0,0,1,0.0,1,2.0,1,False,14.0,27,0,[1. 1.],,[2 2],[0.8 0.8],0.25,0.75,0.4
27,2.0,0,1,1.0,1,2.0,1,False,14.0,28,0,[0. 0.],,[1 1],[0.8 0.8],0.25,0.75,0.4
28,2.0,0,1,0.0,1,2.0,1,False,15.0,29,0,[1. 1.],1.0,[2 2],[0.8 0.8],0.25,0.75,0.4
29,2.0,0,1,1.0,1,2.0,1,True,15.0,30,0,[1. 1.],,[1 1],[0.8 0.8],0.25,0.75,0.4
0,1.0,0,1,0.0,1,2.0,1,False,1.0,1,1,[0. 0.],0.0,[2 2],[0.8 0.8],0.25,0.75,0.4
1,2.0,0,1,0.0,1,1.0,1,False,1.0,2,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
2,2.0,0,1,0.0,1,2.0,0,False,2.0,3,1,[0. 1.],1.0,[1 2],[0.8 0.8],0.25,0.75,0.4
3,1.0,0,1,0.0,1,2.0,0,False,2.0,4,1,[1. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
4,2.0,0,1,1.0,1,1.0,0,False,3.0,5,1,[0. 0.],1.0,[1 1],[0.8 0.8],0.25,0.75,0.4
5,1.0,0,1,0.0,1,2.0,1,False,3.0,6,1,[0. 0.],,[1 2],[0.8 0.8],0.25,0.75,0.4
6,2.0,0,1,0.0,1,1.0,1,False,4.0,7,1,[0. 0.],,[1 2],[0.8 0.8],0.25,0.75,0.4
7,1.0,0,1,0.0,1,2.0,0,False,4.0,8,1,[0. 0.],0.0,[1 1],[0.8 0.8],0.25,0.75,0.4
8,1.0,0,1,0.0,1,1.0,1,False,5.0,9,1,[0. 1.],,[2 2],[0.8 0.8],0.25,0.75,0.4
9,2.0,0,1,1.0,1,1.0,1,False,5.0,10,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
10,2.0,0,1,1.0,1,2.0,1,False,6.0,11,1,[0. 0.],,[1 2],[0.8 0.8],0.25,0.75,0.4
11,2.0,0,1,0.0,1,2.0,1,False,6.0,12,1,[0. 0.],1.0,[2 1],[0.8 0.8],0.25,0.75,0.4
12,1.0,0,1,0.0,1,2.0,1,False,7.0,13,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
13,2.0,0,1,1.0,1,1.0,1,False,7.0,14,1,[1. 1.],1.0,[2 2],[0.8 0.8],0.25,0.75,0.4
14,2.0,0,1,1.0,1,2.0,1,False,8.0,15,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
15,2.0,0,1,1.0,1,2.0,1,False,8.0,16,1,[0. 0.],,[1 1],[0.8 0.8],0.25,0.75,0.4
16,1.0,0,1,0.0,1,2.0,1,False,9.0,17,1,[0. 1.],,[1 1],[0.8 0.8],0.25,0.75,0.4
17,1.0,0,1,0.0,1,1.0,1,False,9.0,18,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
18,2.0,0,1,1.0,1,1.0,1,False,10.0,19,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
19,1.0,0,1,1.0,1,2.0,1,False,10.0,20,1,[1. 1.],0.0,[1 2],[0.8 0.8],0.25,0.75,0.4
20,2.0,0,1,1.0,1,1.0,1,False,11.0,21,1,[0. 1.],,[2 2],[0.8 0.8],0.25,0.75,0.4
21,2.0,0,1,1.0,1,2.0,1,False,11.0,22,1,[0. 1.],1.0,[1 2],[0.8 0.8],0.25,0.75,0.4
22,2.0,0,1,1.0,1,2.0,1,False,12.0,23,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
23,2.0,0,1,1.0,1,2.0,1,False,12.0,24,1,[1. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
24,2.0,0,1,1.0,1,2.0,1,False,13.0,25,1,[1. 1.],,[2 1],[0.8 0.8],0.25,0.75,0.4
25,1.0,0,1,1.0,1,2.0,1,False,13.0,26,1,[0. 1.],0.0,[1 2],[0.8 0.8],0.25,0.75,0.4
26,2.0,0,1,1.0,1,1.0,1,False,14.0,27,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
27,2.0,0,1,1.0,1,2.0,1,False,14.0,28,1,[0. 1.],1.0,[1 2],[0.8 0.8],0.25,0.75,0.4
28,2.0,0,1,1.0,1,2.0,1,False,15.0,29,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
29,2.0,0,1,1.0,1,2.0,1,True,15.0,30,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
0,1.0,0,1,0.0,1,2.0,0,False,1.0,1,0,[1. 0.],,[2 2],[0.8 0.8],0.25,0.75,0.4
1,2.0,0,1,0.0,1,1.0,1,False,1.0,2,0,[1. 0.],,[1 2],[0.8 0.8],0.25,0.75,0.4
2,1.0,0,1,1.0,1,2.0,0,False,2.0,3,0,[1. 0.],,[1 2],[0.8 0.8],0.25,0.75,0.4
3,2.0,0,1,1.0,1,1.0,0,False,2.0,4,0,[1. 0.],1.0,[2 2],[0.8 0.8],0.25,0.75,0.4
4,2.0,0,1,0.0,1,2.0,0,False,3.0,5,0,[1. 1.],,[2 2],[0.8 0.8],0.25,0.75,0.4
5,2.0,0,1,1.0,1,2.0,0,False,3.0,6,0,[0. 0.],,[2 1],[0.8 0.8],0.25,0.75,0.4
6,2.0,0,1,0.0,1,2.0,0,False,4.0,7,0,[1. 0.],,[1 2],[0.8 0.8],0.25,0.75,0.4
7,1.0,0,1,1.0,1,2.0,0,False,4.0,8,0,[0. 0.],,[1 2],[0.8 0.8],0.25,0.75,0.4
8,1.0,0,1,0.0,1,1.0,0,False,5.0,9,0,[1. 1.],,[1 1],[0.8 0.8],0.25,0.75,0.4
9,1.0,0,1,1.0,1,1.0,0,False,5.0,10,0,[1. 0.],0.0,[1 2],[0.8 0.8],0.25,0.75,0.4
10,1.0,0,1,1.0,1,1.0,0,False,6.0,11,0,[1. 1.],,[2 2],[0.8 0.8],0.25,0.75,0.4
11,1.0,0,1,1.0,1,1.0,0,False,6.0,12,0,[1. 1.],0.0,[1 2],[0.8 0.8],0.25,0.75,0.4
12,1.0,0,1,1.0,1,1.0,0,False,7.0,13,0,[0. 0.],,[1 2],[0.8 0.8],0.25,0.75,0.4
13,2.0,0,1,0.0,1,1.0,0,False,7.0,14,0,[1. 0.],1.0,[1 1],[0.8 0.8],0.25,0.75,0.4
14,1.0,0,1,1.0,1,2.0,0,False,8.0,15,0,[1. 0.],,[1 2],[0.8 0.8],0.25,0.75,0.4
15,2.0,0,1,1.0,1,1.0,0,False,8.0,16,0,[1. 1.],1.0,[1 1],[0.8 0.8],0.25,0.75,0.4
16,1.0,0,1,1.0,1,2.0,0,False,9.0,17,0,[1. 0.],,[1 2],[0.8 0.8],0.25,0.75,0.4
17,1.0,0,1,1.0,1,1.0,0,False,9.0,18,0,[1. 0.],,[2 1],[0.8 0.8],0.25,0.75,0.4
18,2.0,0,1,0.0,1,1.0,0,False,10.0,19,0,[1. 0.],,[2 2],[0.8 0.8],0.25,0.75,0.4
19,2.0,0,1,0.0,1,2.0,0,False,10.0,20,0,[1. 0.],1.0,[1 2],[0.8 0.8],0.25,0.75,0.4
20,1.0,0,1,1.0,1,2.0,0,False,11.0,21,0,[1. 0.],,[1 2],[0.8 0.8],0.25,0.75,0.4
21,1.0,0,1,1.0,1,1.0,0,False,11.0,22,0,[1. 1.],0.0,[1 2],[0.8 0.8],0.25,0.75,0.4
22,1.0,0,1,1.0,1,1.0,0,False,12.0,23,0,[1. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
23,1.0,0,1,1.0,1,1.0,0,False,12.0,24,0,[1. 0.],,[1 2],[0.8 0.8],0.25,0.75,0.4
24,2.0,0,1,1.0,1,1.0,0,False,13.0,25,0,[0. 1.],1.0,[2 1],[0.8 0.8],0.25,0.75,0.4
25,2.0,0,1,1.0,1,2.0,0,False,13.0,26,0,[0. 0.],1.0,[1 2],[0.8 0.8],0.25,0.75,0.4
26,1.0,0,1,0.0,1,2.0,0,False,14.0,27,0,[0. 0.],,[1 1],[0.8 0.8],0.25,0.75,0.4
27,2.0,0,1,0.0,1,1.0,1,False,14.0,28,0,[1. 0.],1.0,[2 2],[0.8 0.8],0.25,0.75,0.4
28,2.0,0,1,0.0,1,2.0,0,False,15.0,29,0,[0. 0.],,[2 2],[0.8 0.8],0.25,0.75,0.4
29,2.0,0,1,0.0,1,2.0,0,True,15.0,30,0,[1. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
0,2.0,0,1,0.0,1,2.0,0,False,1.0,1,1,[1. 1.],1.0,[1 1],[0.8 0.8],0.25,0.75,0.4
1,1.0,0,1,1.0,1,2.0,0,False,1.0,2,1,[0. 0.],,[1 2],[0.8 0.8],0.25,0.75,0.4
2,1.0,0,1,0.0,1,1.0,0,False,2.0,3,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
3,2.0,0,1,0.0,1,1.0,0,False,2.0,4,1,[0. 1.],1.0,[2 1],[0.8 0.8],0.25,0.75,0.4
4,2.0,0,1,1.0,1,2.0,0,False,3.0,5,1,[1. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
5,1.0,0,1,1.0,1,2.0,0,False,3.0,6,1,[0. 1.],0.0,[1 2],[0.8 0.8],0.25,0.75,0.4
6,1.0,0,1,0.0,1,1.0,0,False,4.0,7,1,[0. 1.],,[2 2],[0.8 0.8],0.25,0.75,0.4
7,1.0,0,1,1.0,1,1.0,0,False,4.0,8,1,[0. 0.],0.0,[1 2],[0.8 0.8],0.25,0.75,0.4
8,1.0,0,1,0.0,1,1.0,0,False,5.0,9,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
9,1.0,0,1,0.0,1,1.0,0,False,5.0,10,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
10,1.0,0,1,0.0,1,1.0,0,False,6.0,11,1,[1. 0.],0.0,[1 2],[0.8 0.8],0.25,0.75,0.4
11,2.0,0,1,0.0,1,1.0,1,False,6.0,12,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
12,1.0,0,1,0.0,1,2.0,0,False,7.0,13,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
13,2.0,0,1,1.0,1,1.0,1,False,7.0,14,1,[0. 1.],1.0,[2 1],[0.8 0.8],0.25,0.75,0.4
14,1.0,0,1,0.0,1,2.0,1,False,8.0,15,1,[1. 0.],,[1 1],[0.8 0.8],0.25,0.75,0.4
15,1.0,0,1,1.0,1,1.0,1,False,8.0,16,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
16,2.0,0,1,1.0,1,1.0,1,False,9.0,17,1,[0. 1.],,[2 2],[0.8 0.8],0.25,0.75,0.4
17,1.0,0,1,1.0,1,2.0,1,False,9.0,18,1,[0. 1.],0.0,[1 2],[0.8 0.8],0.25,0.75,0.4
18,2.0,0,1,1.0,1,1.0,1,False,10.0,19,1,[0. 0.],,[1 2],[0.8 0.8],0.25,0.75,0.4
19,2.0,0,1,0.0,1,2.0,1,False,10.0,20,1,[0. 0.],1.0,[1 2],[0.8 0.8],0.25,0.75,0.4
20,2.0,0,1,0.0,1,2.0,1,False,11.0,21,1,[0. 1.],,[2 2],[0.8 0.8],0.25,0.75,0.4
21,1.0,0,1,1.0,1,2.0,1,False,11.0,22,1,[0. 1.],0.0,[1 2],[0.8 0.8],0.25,0.75,0.4
22,2.0,0,1,0.0,1,1.0,0,False,12.0,23,1,[0. 1.],1.0,[1 2],[0.8 0.8],0.25,0.75,0.4
23,2.0,0,1,0.0,1,2.0,0,False,12.0,24,1,[1. 1.],1.0,[1 1],[0.8 0.8],0.25,0.75,0.4
24,2.0,0,1,1.0,1,2.0,0,False,13.0,25,1,[0. 1.],1.0,[1 2],[0.8 0.8],0.25,0.75,0.4
25,1.0,0,1,0.0,1,2.0,0,False,13.0,26,1,[0. 0.],,[1 2],[0.8 0.8],0.25,0.75,0.4
26,1.0,0,1,0.0,1,1.0,0,False,14.0,27,1,[1. 0.],,[1 2],[0.8 0.8],0.25,0.75,0.4
27,2.0,0,1,0.0,1,1.0,1,False,14.0,28,1,[0. 0.],,[1 2],[0.8 0.8],0.25,0.75,0.4
28,1.0,0,1,0.0,1,2.0,0,False,15.0,29,1,[0. 1.],,[2 2],[0.8 0.8],0.25,0.75,0.4
29,2.0,0,1,1.0,1,1.0,1,True,15.0,30,1,[0. 1.],,[2 2],[0.8 0.8],0.25,0.75,0.4
0,1.0,0,1,1.0,1,2.0,0,False,1.0,1,1,[0. 1.],,[2 2],[0.8 0.8],0.25,0.75,0.4
1,2.0,0,1,1.0,1,1.0,0,False,1.0,2,1,[0. 1.],,[2 2],[0.8 0.8],0.25,0.75,0.4
2,1.0,0,1,1.0,1,2.0,0,False,2.0,3,1,[0. 1.],0.0,[1 2],[0.8 0.8],0.25,0.75,0.4
3,1.0,0,1,0.0,1,1.0,0,False,2.0,4,1,[0. 1.],,[1 2],[0.8 0.8],0.25,0.75,0.4
4,2.0,0,1,0.0,1,1.0,0,False,3.0,5,1,[0. 0.],1.0,[2 1],[0.8 0.8],0.25,0.75,0.4
5,2.0,0,1,0.0,1,2.0,0,False,3.0,6,1,[0. 1.],,[2 2],[0.8 0.8],0.25,0.75,0.4
